,"Aaron
,"more
(e199)",,"Moreh
(eeaa)",,"Moriah
(efdd)",,"morning
(e163)",
,"Moses
(e35b)",,"most
(e229)",,"mother
(e00b)",,"Mount_of_Olives
(e351)",
,"Mount_Sinai
(eb5c)",,"Mount_Zion
(ecf5)",,"mountain
(e306)",,"mouth
(e03f)",
,"move
(e32f)",,"Muppim
(efde)",,"murderer
(ea10)",,"mustard
(e039)",
,"mute
(e050)",,"Myra
(ec28)",,"myrrh
(e245)",,"Mysia
(eb4a)",
,"mystery
(e18b)",,"Naamah
(eeab)",,"Naaman
(ec6d)",,"Naggai
(ec4a)",
,"Nahath
(e1c8)",,"Nahor
(ec6e)",,"Nahshon
(ea52)",,"Nahum
(ec48)",
,"nail
(ebaa)",,"Nain
(ea48)",,"name
(e04f)",,"Naphish
(eee9)",
,"Naphtali
(ea40)",,"Naphtuh
(eeac)",,"Narcius
(ebc9)",,"Nathan
(ec6f)",
,"Nazareth
(e34e)",,"near
(e300)",,"Nebaioth
(eead)",,"neck
(e0d3)",
,"need
(e07f)",,"needle
(e078)",,"Negev
(eeae)",,"neighbor
(e173)",
,"Neopolis
(eb4e)",,"Nereus
(ebca)",,"Neri
(ec70)",,"net
(e307)",
,"new
(e308)",,"Nicanor
(eb55)",,"Nicodemus
(ebab)",,"Nicolaus
(eb56)",
,"Nicopolis
(ed08)",,"Nile
(efdf)",,"Nimrod
(eeaf)",,"nine
(e294)",
