0 csv2kmn.py
1 PT.csv
2 76
3 PT
['\ueb1a', 'eb1a', 'Demetrius', 'Demétrio']
['\ueb87', 'eb87', 'demon', 'demônio']
['\ue165', 'e165', 'denarius', 'denário']
['\ue0e5', 'e0e5', 'deny', 'negar']
['\ue243', 'e243', 'depart', 'partir']
['\ue321', 'e321', 'depth', 'profundidade']
['\ueb43', 'eb43', 'Derbe', 'Derbe']
['\ue317', 'e317', 'descend', 'descer']
['\ueb60', 'eb60', 'descendant', 'descendente']
['\ue156', 'e156', 'desert', 'deserto']
['\ue0f5', 'e0f5', 'deserve', 'merecer']
['\ue020', 'e020', 'desire', 'desejo']
['\ue141', 'e141', 'destroy', 'destruir']
['\ue141', 'e141', 'destruction', 'destruição']
['\uebb6', 'ebb6', 'Didymus', 'Dídimo']
['\ue181', 'e181', 'die', 'morrer']
['\uecff', 'ecff', 'different', 'diferente']
['\ue093', 'e093', 'difficult', 'difícil']
['\ue04b', 'e04b', 'dignify', 'dignificar']
['\ueb78', 'eb78', 'Dionysius', 'Dionísio']
[' \uec3c ', 'ece2', 'Diotrephes', 'Diótrefes']
['\ue323', 'e323', 'direction', 'direção']
['\ue15b', 'e15b', 'dirt', 'sujeira']
['\ue249', 'e249', 'dirty', 'sujo']
['\ue142', 'e142', 'disciple', 'discípulo']
['\ueda5', 'eda5', 'discipline', 'disciplina']
['\ue261', 'e261', 'discourage', 'desencorajar']
['\ue20a', 'e20a', 'disease', 'doença']
['\ue384 ', 'e384', 'dish', 'prato']
['\ue193', 'e193', 'disobedience', 'desobediência']
['\ue193', 'e193', 'disobey', 'desobedecer']
['\ue326', 'e326', 'divide', 'dividir']
['\ue326', 'e326', 'division', 'divisão']
['\uea3d', 'ea3d', 'divorce', 'divórcio']
['\ue08c', 'e08c', 'do', 'fazer']
['\ue144', 'e144', 'doctor', 'médico']
['\ue104', 'e104', 'dog', 'cão']
['\ue032', 'e032', 'dominion', 'domínio']
['\uea09', 'ea09', 'donkey', 'asno']
['\ue23e', 'e23e', 'door', 'porta']
['\uec2c', 'ec2c', 'Dorcas', 'Dorcas']
['\ue194', 'e194', 'doubt', 'dúvida']
['\uea36', 'ea36', 'dough', 'massa']
['\ue25e', 'e25e', 'dove', 'pomba']
['\ue319', 'e319', 'down', 'baixo']
['\uecdf', 'ecdf', 'dragon', 'dragão']
['\uea80', 'ea80', 'dream', 'sonhar']
['\ue274', 'e274', 'drink', 'beber']
['\uebe3', 'ebe3', 'drum', 'tambor']
['\uea8d', 'ea8d', 'drunk', 'bêbado']
['\ueb9c', 'eb9c', 'Drusilla', 'Drusila']
['\ue188', 'e188', 'dry', 'seco']
['\ue15d', 'e15d', 'dust', 'poeira']
['\ue17b', 'e17b', 'dwell', 'habitar']
['\uecc9', 'ecc9', 'eagle', 'águia']
['\ue299', 'e299', 'ear', 'orelha']
['\ue0f5', 'e0f5', 'earn', 'ganhar']
['\ue153', 'e153', 'earth', 'terra']
['\ue159', 'e159', 'earthquake', 'terremoto']
['\uea38', 'ea38', 'east', 'leste']
['\ue092', 'e092', 'easy', 'fácil']
['\ue053', 'e053', 'eat', 'comer']
['\uec5a', 'ec5a', 'Eber  ', 'Héber']
['\uea44', 'ea44', 'Egypt', 'Egito']
['\ue293', 'e293', 'eight', 'oito']
['\ueb6d', 'eb6d', 'Elam_land           ', 'Elão']
['\ueb62', 'eb62', 'elder', 'anciãos']
['\uea70', 'ea70', 'Eleazar', 'Eleazar']
['\uec9f', 'ec9f', 'elect', 'eleger']
[' \uec44 ', 'ec44', 'Eli', 'Eli']
['\uea6b', 'ea6b', 'Eliakim', 'Eliaquim']
